nama_brand,id_brand
ALGENIST,1
AMOREPACIFIC,2
Andalou Naturals,3
BIOSSANCE,4
BOSCIA,5
Botanics,6
CAUDALIE,7
CLINIQUE,8
DR. DENNIS GROSS SKINCARE,9
DR. JART+,10
ESPA,11
ESTEE LAUDER,12
EVE LOM,13
FIRST AID BEAUTY,14
FRESH,15
Garnier,16
GUERLAIN,17
Hada Labo,18
HERBIVORE,19
Indie Lee,20
INNISFREE,21
Instant,22
JOSIE MARAN,23
KATE SOMERVILLE,24
KIEHL SINCE 1851,25
LA MER,26
Lancome,27
LANEIGE,28
Meder Beauty Science,29
Montagne Jeunesse,30
MURAD,31
MY SKIN MENTOR DR. G,32
NeoStrata,33
Nia24,34
OLEHENRIKSEN,35
Origins,36
ORIGINS,37
Osmotics,38
PEACE OUT,39
PETER THOMAS ROTH,40
PHILOSOPHY,41
Platinum Skin Care,42
REN CLEAN SKINCARE,43
SATURDAY SKIN,44
Sephora,45
Shiseido,46
SK-II,47
SkinCeuticals,48
SKINFOOD,49
SUNDAY RILEY,50
VOLITION BEAUTY,51
Yves Saint Laurent,52
